0, 115.47634887695312
1, 128.87408447265625
2, 112.4212646484375
3, 109.46410369873047
4, 98.51678466796875
5, 88.72444152832031
6, 87.77234649658203
7, 78.95732116699219
8, 92.56468200683594
9, 104.082275390625
10, 113.43780517578125
11, 125.86258697509766
12, 142.09718322753906
13, 143.42465209960938
14, 125.76309204101562
15, 167.5426025390625
16, 181.84848022460938
17, 171.61456298828125
18, 147.54940795898438
19, 122.78250122070312
20, 158.38523864746094
21, 147.42724609375
22, 125.76309204101562
23, 128.9770050048828
24, 116.69889831542969
25, 105.3427505493164
26, 110.37344360351562
27, 102.35144805908203
28, 105.36176300048828
29, 112.4212646484375
30, 116.52049255371094
31, 131.9938507080078
32, 124.63016510009766
33, 151.85964965820312
34, 163.4175262451172
35, 135.01144409179688
36, 132.98182678222656
37, 147.70245361328125
38, 151.89134216308594
39, 158.13397216796875
40, 172.72032165527344
41, 175.8133087158203
42, 146.59432983398438
43, 127.93782043457031
44, 143.26138305664062
45, 115.47634887695312
46, 125.78794860839844
47, 113.33111572265625
48, 101.37704467773438
49, 108.3746337890625
50, 115.1846923828125
51, 125.44115447998047
52, 122.71041870117188
53, 149.2539520263672
54, 115.38864135742188
55, 159.14474487304688
56, 181.9249725341797
57, 182.90615844726562
58, 179.84326171875
59, 189.5994110107422
60, 203.93772888183594
61, 200.99359130859375
62, 197.07846069335938
63, 186.88943481445312
64, 162.03466796875
65, 131.9938507080078
66, 140.3734588623047
67, 150.62472534179688
68, 125.73824310302734
69, 130.04322814941406
70, 114.45618438720703
71, 112.29502868652344
72, 122.80657958984375
73, 110.55817413330078
74, 145.7803497314453
75, 151.6699676513672
76, 123.69474029541016
77, 159.1781463623047
78, 187.04627990722656
79, 198.978515625
80, 202.9585723876953
81, 201.03518676757812
82, 187.08555603027344
83, 165.56919860839844
84, 153.95252990722656
85, 149.92190551757812
86, 143.45420837402344
87, 137.20887756347656
88, 139.29898071289062
89, 162.27304077148438
90, 165.77108764648438
91, 146.4730224609375
92, 133.03546142578125
93, 135.14828491210938
94, 125.86258697509766
95, 135.28549194335938
96, 138.2537078857422
97, 157.05633544921875
98, 133.03546142578125
99, 136.21995544433594
100, 162.30712890625
101, 167.5426025390625
102, 172.68389892578125
103, 165.42974853515625
104, 160.2554473876953
105, 168.50918579101562
106, 195.00625610351562
107, 203.93772888183594
108, 181.88671875
109, 158.16712951660156
110, 149.797119140625
111, 145.72828674316406
112, 139.29898071289062
113, 133.25057983398438
114, 155.02244567871094
115, 167.45712280273438
116, 147.6717987060547
117, 131.1636505126953
118, 140.31593322753906
